# Time_s,Displacement_m,Velocity_ms,Voltage_V,Current_A,Power_W,Energy_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.334444814938312572e-04,-5.807491137638697429e-10,-5.226800292675765723e-06,2.902369184415917996e-04,-2.613400146337882861e-06,4.737020985055854267e-13,1.579533506187347149e-16
6.668889629876625143e-04,-4.632043823298870853e-09,-2.075767115707466065e-05,2.313848718481424822e-03,-1.037883557853733033e-05,3.010716910848642468e-11,1.019702274324508315e-14
1.000333444481493663e-03,-1.551822643624429473e-08,-4.614638796952471987e-05,7.748164764246914978e-03,-2.307319398476235993e-05,3.375963129022757325e-10,1.227666502531736370e-13
1.333777925975325029e-03,-3.642065939557049379e-08,-8.066468192135962934e-05,1.817596975675436766e-02,-4.033234096067981467e-05,1.857783848440433835e-09,7.422344223240084058e-13
1.667222407469156394e-03,-7.021943901650270913e-08,-1.233233595124507591e-04,3.502659767816857644e-02,-6.166167975622537957e-05,6.899155093301287164e-09,3.042719615155380995e-12
2.000666888962987326e-03,-1.194086881719058004e-07,-1.728973503413394977e-04,5.953385937210309981e-02,-8.644867517066974884e-05,1.993095343582576471e-08,9.688586049241997778e-12
2.334111370456818692e-03,-1.861083265027889961e-07,-2.279582777768976226e-04,9.274229345637907684e-02,-1.139791388884488113e-04,4.836772526855536447e-08,2.581653712245151927e-11
2.667555851950650057e-03,-2.718890839957444475e-07,-2.869316140216944186e-04,1.354203145497561156e-01,-1.434658070108472093e-04,1.031258726228714270e-07,6.020329024778377047e-11
3.001000333444481423e-03,-3.777225545076986548e-07,-3.481173012007507026e-04,1.880354715023341006e-01,-1.740586506003753513e-04,1.988289261153352712e-07,1.265016984222870382e-10
3.334444814938312789e-03,-5.039870104904491842e-07,-4.097667432939140417e-04,2.507582193577090890e-01,-2.048833716469570208e-04,3.535984515170910975e-07,2.444071507454250877e-10
3.667889296432143720e-03,-6.506432579859861255e-07,-4.700488693266806654e-04,3.235494654724917485e-01,-2.350244346633403327e-04,5.886828358724786259e-07,4.407001937172418361e-10
4.001333777925974652e-03,-8.170331003474276893e-07,-5.272074300238292852e-04,4.060615664137446346e-01,-2.636037150119146426e-04,9.272220933760624944e-07,7.498772838726477467e-10
4.334778259419806018e-03,-1.001841580971244549e-06,-5.795909517893849897e-04,4.976197855428307060e-01,-2.897954758946924949e-04,1.392500242457808218e-06,1.214198805199026021e-09
4.668222740913637384e-03,-1.203096983297259153e-06,-6.256527367066190819e-04,5.972222930154132969e-01,-3.128263683533095410e-04,2.005727925887537313e-06,1.882997713464293353e-09
