# Time_s,Displacement_m,Velocity_ms,Voltage_V,Current_A,Power_W,Energy_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.334444814938312572e-04,-1.161907926359732656e-09,-1.045156595049352328e-05,5.724452554021870147e-04,-5.225782975246761640e-06,5.827307291022100177e-11,1.943083458160086719e-14
6.668889629876625143e-04,-9.259751564649046955e-09,-4.148279294898125691e-05,4.495567918609854642e-03,-2.074139647449062845e-05,3.593925967292753509e-09,1.217805615272748924e-12
1.000333444481493663e-03,-3.100677419419741251e-08,-9.215078768126072867e-05,1.483487059668405286e-02,-4.607539384063036433e-05,3.913519703462440332e-08,1.426722109864200662e-11
1.333777925975325029e-03,-7.273020287269561858e-08,-1.609470731870199099e-04,3.429097290500041778e-02,-8.047353659350995497e-05,2.091026873000037365e-07,8.399135824435849198e-11
1.667222407469156394e-03,-1.401214418701018890e-07,-2.458772650788728915e-04,6.510269647900106260e-02,-1.229386325394364458e-04,7.536990256588874903e-07,3.353081390575920318e-10
2.000666888962987326e-03,-2.381725744308579608e-07,-3.445173589637147860e-04,1.090350750537180391e-01,-1.722586794818573930e-04,2.114133722600894008e-06,1.040254361998870354e-09
2.334111370456818692e-03,-3.710791192037584791e-07,-4.541093916280661974e-04,1.673640856361123530e-01,-2.270546958140330987e-04,4.981091715308399784e-06,2.701171906283097955e-09
2.667555851950650057e-03,-5.419644496587837484e-07,-5.716855761784759692e-04,2.407822150303045583e-01,-2.858427880892379846e-04,1.030976605805651517e-05,6.138906503834453189e-09
3.001000333444481423e-03,-7.528241736819107934e-07,-6.941621008486445520e-04,3.294033676235580965e-01,-3.470810504243222760e-04,1.929550145812459108e-05,1.257288498270227123e-08
3.334444814938312789e-03,-1.004756062318260521e-06,-8.183352055534564217e-04,4.328763209414942525e-01,-4.091676027767282109e-04,3.332173910007696626e-05,2.368383499940016091e-08
3.667889296432143720e-03,-1.298002080196725550e-06,-9.409177592335135057e-04,5.504174545007465280e-01,-4.704588796167567528e-04,5.387464172520692215e-05,4.164803697512770997e-08
4.001333777925974652e-03,-1.631664123931618043e-06,-1.058862944905340211e-03,6.807810618317666762e-01,-5.294314724526701056e-04,8.241664508506615287e-05,6.912941246197871325e-08
4.334778259419806018e-03,-2.003698871890588873e-06,-1.169370760987433096e-03,8.222590391648865182e-01,-5.846853804937165479e-04,1.202312362975463980e-04,1.092198547085763803e-07
4.668222740913637384e-03,-2.410917784194625513e-06,-1.269888021300261734e-03,9.726808854303181651e-01,-6.349440106501308672e-04,1.682444562581730720e-04,1.653200401897944742e-07
5.001667222407468749e-03,-2.849590885685015949e-06,-1.358422917208889323e-03,1.129823550233688634e+00,-6.792114586044446616e-04,2.269975898055453275e-04,2.410111338228539610e-07
5.335111703901300115e-03,-3.315430573526380469e-06,-1.433009171477231131e-03,1.291215724692412081e+00,-7.165045857386155657e-04,2.964815091845866076e-04,3.398712569254169944e-07
5.668556185395131480e-03,-3.803251432606082222e-06,-1.491659302525940494e-03,1.453948881309849339e+00,-7.458296512629702469e-04,3.759224611043119561e-04,4.652205270502292510e-07
6.002000666888962846e-03,-4.307639306145174799e-06,-1.532969334512151831e-03,1.615219770584477743e+00,-7.664846672560759154e-04,4.639415227760229328e-04,6.199192675557387365e-07
6.335445148382794212e-03,-4.822952142794737622e-06,-1.556119415337551583e-03,1.772331057297389600e+00,-7.780597076687757914e-04,5.585855486607924775e-04,8.061765361988838828e-07
