# Time_s,Displacement_m,Velocity_ms,Voltage_V,Current_A,Power_W,Energy_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.334444814938312572e-04,-1.930157396699552127e-10,-1.742487557966296152e-06,9.509013467251216855e-05,-8.712437789831480761e-07,1.607944020293332231e-12,5.361600601178166802e-16
6.668889629876625143e-04,-1.543975040414617777e-09,-6.922672840637192778e-06,7.495798138119187876e-04,-3.461336420318596389e-06,9.991616694435915956e-11,3.385265453973074041e-14
1.000333444481493663e-03,-5.177348759176324949e-09,-1.540344338703161352e-05,2.477168513936529697e-03,-7.701721693515806762e-06,1.091216948062885633e-09,3.977129239838406272e-13
1.333777925975325029e-03,-1.215682627790704824e-08,-2.696571538622418392e-05,5.732160591578066948e-03,-1.348285769311209196e-05,5.843010921617488442e-09,2.346032671105376980e-12
1.667222407469156394e-03,-2.347022877609821704e-08,-4.131932637822278309e-05,1.090579471008764484e-02,-2.065966318911139154e-05,2.115020769962378750e-08,9.398452710993268860e-12
2.000666888962987326e-03,-3.998592952813731008e-08,-5.811690472423106953e-05,1.830938565385224412e-02,-2.905845236211553477e-05,5.961390138062782576e-08,2.927637914668110583e-11
2.334111370456818692e-03,-6.244058415645374457e-08,-7.696664035136624655e-05,2.817272983591185762e-02,-3.848332017568312327e-05,1.411425180496230883e-07,7.633957289447139669e-11
2.667555851950650057e-03,-9.146977987420420598e-08,-9.743298557511817916e-05,4.065967837366732396e-02,-4.871649278755908958e-05,2.939868317325725841e-07,1.743678595675532782e-10
3.001000333444481423e-03,-1.275501694210666475e-07,-1.190694517190272090e-04,5.585086473100600579e-02,-5.953472585951360448e-05,5.547020913224294694e-07,3.593302107921046325e-10
3.334444814938312789e-03,-1.709843361381136907e-07,-1.414265712500463955e-04,7.373896818462075120e-02,-7.071328562502319777e-05,9.669279466686841818e-07,6.817469986109388858e-10
3.667889296432143720e-03,-2.218945368250905327e-07,-1.640713111230821127e-04,9.423248695136186848e-02,-8.203565556154105635e-05,1.579069721406805795e-06,1.208279083108039877e-09
4.001333777925974652e-03,-2.802849715325737114e-07,-1.865892022843270370e-04,1.171876287508460124e-01,-9.329460114216351848e-05,2.442100503212634183e-06,2.022584019157601310e-09
4.334778259419806018e-03,-3.460935703845312832e-07,-2.085366751604651844e-04,1.424172577769594883e-01,-1.042683375802325922e-04,3.606826388909505371e-06,3.225260374245799260e-09
4.668222740913637384e-03,-4.191214551517083067e-07,-2.295300894553424184e-04,1.696872775054183435e-01,-1.147650447276712092e-04,5.120337214671949988e-06,4.932608561865655605e-09
5.001667222407468749e-03,-4.990300442561255479e-07,-2.492500936940880924e-04,1.987167331010389337e-01,-1.246250468470440462e-04,7.022130198413389908e-06,7.274099124857782079e-09
5.335111703901300115e-03,-5.853410527710797976e-07,-2.674416252231150235e-04,2.291778114177377701e-01,-1.337208126115575118e-04,9.339962562496299342e-06,1.038845809868115537e-08
5.668556185395131480e-03,-6.774364924211435009e-07,-2.839139102101195735e-04,2.606958409985318248e-01,-1.419569551050597867e-04,1.208559970066702165e-05,1.441833462441207146e-08
6.002000666888962846e-03,-7.746330862241267374e-07,-2.985644582976307716e-04,2.928950276810288189e-01,-1.492822291488153858e-04,1.525541399811441789e-05,1.950516823498706875e-08
6.335445148382794212e-03,-8.764245006931358759e-07,-3.113654946751816472e-04,3.255147410806721875e-01,-1.556827473375908236e-04,1.884262136078124496e-05,2.578813634461735906e-08
6.668889629876625577e-03,-9.821136673903301582e-07,-3.221941464672695588e-04,3.581653145567014196e-01,-1.610970732336347794e-04,2.281219373448644533e-05,3.339473645615001684e-08
7.002334111370456075e-03,-1.091013473511325069e-06,-3.309876819954854564e-04,3.904835728324368427e-01,-1.654938409977427282e-04,2.711474576412685269e-05,4.243599879830634760e-08
7.335778592864287441e-03,-1.202474972832243941e-06,-3.377575072858761190e-04,4.221519125360846947e-01,-1.688787536429380595e-04,3.169111521326489149e-05,5.300322627855472642e-08
7.669223074358118807e-03,-1.315887385709715622e-06,-3.425891660689435046e-04,4.528983022007359027e-01,-1.712945830344717523e-04,3.647551103715849184e-05,6.516578414356256864e-08
8.002667555851949305e-03,-1.430678099080875113e-06,-3.456423397796452922e-04,4.824962822643669158e-01,-1.728211698898226461e-04,4.139881811462697316e-05,7.896999158425178050e-08
8.336112037345780670e-03,-1.546312666463365473e-06,-3.471508475573945561e-04,5.107649650698398158e-01,-1.735754237786972781e-04,4.639190432154138740e-05,9.443911606625957588e-08
8.669556518839612036e-03,-1.662294807955334644e-06,-3.474226462460600377e-04,5.375690348649015959e-01,-1.737113231230300188e-04,5.138880148062454056e-05,1.115744283305558595e-07
