# freq_Hz, tip_disp_m, voltage_V
1.000000000000000000e+01,3.622225306295852391e-16,3.622225306295852746e-19
1.257500000000000000e+03,6.072242758387904192e-12,6.072242758387904892e-15
2.505000000000000000e+03,2.930779375739381329e-11,2.930779375739382111e-14
3.752500000000000000e+03,1.045859994335848723e-10,1.045859994335848821e-13
5.000000000000000000e+03,2.028147147257751530e-07,2.028147147257751867e-10
