# Time_s,Displacement_m,Velocity_ms,Voltage_V,Current_A,Power_W,Energy_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.334444814938312572e-04,-7.745462593567982783e-10,-6.968661166913976324e-06,3.870900752662501912e-04,-3.484330583456988162e-06,8.426050795153252821e-13,2.809620138430561191e-16
6.668889629876625143e-04,-6.175163263532007914e-09,-2.766977173192501654e-05,3.084684369642867827e-03,-1.383488586596250827e-05,5.350833849057920620e-11,1.812302219743065281e-14
1.000333444481493663e-03,-2.068410823739081349e-08,-6.149252382113471577e-05,1.032745841084020330e-02,-3.074626191056735789e-05,5.997729975701601692e-10,2.181140183862136397e-13
1.333777925975325029e-03,-4.853184926386554206e-08,-1.074404497481218568e-04,2.422013221589336060e-02,-5.372022487406092841e-05,3.298777465699362012e-09,1.318073159999872110e-12
1.667222407469156394e-03,-9.352958198525470173e-08,-1.641591017772871307e-04,4.665403837025719480e-02,-8.207955088864356534e-05,1.223991732663535389e-08,5.399406046507159640e-12
2.000666888962987326e-03,-1.589864188156941833e-07,-2.299698311719020906e-04,7.926609513181914757e-02,-1.149849155859510453e-04,3.533254561671542449e-08,1.718084839952997494e-11
2.334111370456818692e-03,-2.476715506715283076e-07,-3.029224297359969071e-04,1.234204768889274328e-01,-1.514612148679984535e-04,8.565928407818015914e-08,4.574346396411154586e-11
2.667555851950650057e-03,-3.615923477963361073e-07,-3.808604439247735779e-04,1.800983949694619501e-01,-1.904302219623867890e-04,1.823978374122117146e-07,1.065630162856226101e-10
3.001000333444481423e-03,-5.019400139971597972e-07,-4.614638408335162132e-04,2.498714024571863090e-01,-2.307319204167581066e-04,3.511018426769873497e-07,2.236359881685793832e-10
3.334444814938312789e-03,-6.691838901105013672e-07,-5.423161268749454892e-04,3.329492983224909275e-01,-2.711580634374727446e-04,6.233847989670682643e-07,4.315002092312896971e-10
3.667889296432143720e-03,-8.631478026467522358e-07,-6.209270488427382981e-04,4.292185529707246427e-01,-3.104635244213691490e-04,1.035993360628577393e-06,7.769464781971375469e-10
4.001333777925974652e-03,-1.082763674121070842e-06,-6.949168874485215286e-04,5.381211744566870570e-01,-3.474584437242607643e-04,1.628396509366916977e-06,1.319926307929353838e-09
4.334778259419806018e-03,-1.326060777594044975e-06,-7.620250782699408178e-04,6.586494322306561955e-01,-3.810125391349704089e-04,2.439543932909116878e-06,2.133378769719656114e-09
4.668222740913637384e-03,-1.590178700401272182e-06,-8.201365266214550578e-04,7.893526333590222821e-01,-4.100682633107275289e-04,3.503822719159668841e-06,3.301709119556158018e-09
5.001667222407468749e-03,-1.871706092937375239e-06,-8.675873968920859956e-04,9.285099175960491724e-01,-4.337936984460429978e-04,4.848117018097576409e-06,4.918286984877123655e-09
5.335111703901300115e-03,-2.166812201159367398e-06,-9.026005190569541406e-04,1.074189698702076257e+00,-4.513002595284770703e-04,6.488763814525644773e-06,7.081929470547561806e-09
5.668556185395131480e-03,-2.471288605207772541e-06,-9.237077993573571729e-04,1.224275247214923423e+00,-4.618538996786785865e-04,8.428652283109745925e-06,9.892417060780888051e-09
6.002000666888962846e-03,-2.780595695236301709e-06,-9.299222366084840177e-04,1.376489851593950764e+00,-4.649611183042420088e-04,1.065481780222414527e-05,1.344520725825476092e-08
6.335445148382794212e-03,-3.089862671411853316e-06,-9.207379221994153873e-04,1.528396818220060016e+00,-4.603689610997076936e-04,1.313627555241205374e-05,1.782542584858888949e-08
6.668889629876625577e-03,-3.393887543914516108e-06,-8.961300400931234561e-04,1.677399471395692565e+00,-4.480650200465617281e-04,1.582242346593308070e-05,2.310132563716277391e-08
7.002334111370456075e-03,-3.687137132937563239e-06,-8.565548668264715351e-04,1.820741153344830998e+00,-4.282774334132357676e-04,1.864216797860188265e-05,2.931745367270858299e-08
7.335778592864287441e-03,-3.964501759965510872e-06,-8.029259591022516263e-04,1.955882283185093273e+00,-4.014629795511258131e-04,2.151222965345812236e-05,3.649058793528214989e-08
7.669223074358118807e-03,-4.222223512993599028e-06,-7.362959460929861637e-04,2.080960889706957584e+00,-3.681479730464930818e-04,2.435161876161625596e-05,4.461050082678473152e-08
8.002667555851949305e-03,-4.455559780910695478e-06,-6.578640240138828709e-04,2.193624496421384684e+00,-3.289320120069414355e-04,2.705979951257856460e-05,5.363344164458352926e-08
