# Time_s,Displacement_m,Velocity_ms,Voltage_V,Current_A,Power_W,Energy_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.334444814938312572e-04,-7.745340015018008362e-10,-6.968709533649779769e-06,3.862406691149483325e-04,-3.484354766824889885e-06,4.717544457194175029e-12,1.573039165453209238e-15
6.668889629876625143e-04,-6.175272110359110131e-09,-2.767066286271648929e-05,3.071399913134309750e-03,-1.383533143135824464e-05,2.983133816876518727e-10,1.010439900449636758e-13
1.000333444481493663e-03,-2.068524739800194098e-08,-6.149932085184101516e-05,1.026097588595734945e-02,-3.074966042592050758e-05,3.329487080100108776e-09,1.211243083109354552e-12
1.333777925975325029e-03,-4.853812450669957657e-08,-1.074683646765804863e-04,2.401331808010506372e-02,-5.373418233829024317e-05,1.823494035579396097e-08,7.291583315118011099e-12
1.667222407469156394e-03,-9.355316357526963884e-08,-1.642431438973743826e-04,4.615908935649865041e-02,-8.212157194868719128e-05,6.737743358398761074e-08,2.975821672091581483e-11
2.000666888962987326e-03,-1.590556994767392975e-07,-2.301758937939454288e-04,7.826372500937675558e-02,-1.150879468969727144e-04,1.936961680973074528e-07,9.434513505946448140e-11
2.334111370456818692e-03,-2.478437751024313338e-07,-3.033577717656281598e-04,1.216140266886915344e-01,-1.516788858828140799e-04,4.676999642925178132e-07,2.502971071476664426e-10
2.667555851950650057e-03,-3.619705440996713391e-07,-3.816885443792509690e-04,1.771137476244170894e-01,-1.908442721896254845e-04,9.919837208695778019e-07,5.810686046033442835e-10
3.001000333444481423e-03,-5.026924770488374802e-07,-4.629196225334698193e-04,2.452604053437397735e-01,-2.314598112667349097e-04,1.902194332491747048e-06,1.215344807501559261e-09
3.334444814938312789e-03,-6.705673756183182844e-07,-5.447169047151590110e-04,3.261982494335481375e-01,-2.723584523575795055e-04,3.364830965787033734e-06,2.337329124202804233e-09
3.667889296432143720e-03,-8.655380774903044583e-07,-6.246743683208258544e-04,4.197609519760425734e-01,-3.123371841604129272e-04,5.571909735290341104e-06,4.195251676817122328e-09
4.001333777925974652e-03,-1.086690458210101671e-06,-7.005048068892726423e-04,5.253626042318472189e-01,-3.502524034446363212e-04,8.728071838909056974e-06,7.105579065583062713e-09
4.334778259419806018e-03,-1.332242438329069044e-06,-7.700491619938333587e-04,6.419928074903145099e-01,-3.850245809969166794e-04,1.303347805478126087e-05,1.145152039762082993e-08
4.668222740913637384e-03,-1.599553059622262993e-06,-8.312940628408985004e-04,7.682223141845534453e-01,-4.156470314204492502e-04,1.866267252381774129e-05,1.767448556061440650e-08
5.001667222407468749e-03,-1.885456917582563304e-06,-8.826830664993767436e-04,9.023898168668246234e-01,-4.413415332496883718e-04,2.575066041296267811e-05,2.626090117013847645e-08
5.335111703901300115e-03,-2.186393261204812517e-06,-9.225390642301949454e-04,1.042630119797310684e+00,-4.612695321150974727e-04,3.437641104072662666e-05,3.772352572523238046e-08
5.668556185395131480e-03,-2.498438410209086563e-06,-9.494377192203835771e-04,1.186913761854933469e+00,-4.747188596101917886e-04,4.454903805017609777e-05,5.257815661892231536e-08
6.002000666888962846e-03,-2.817368438379184020e-06,-9.624164965597298673e-04,1.333091497149336835e+00,-4.812082482798649336e-04,5.619787794589911720e-05,7.131702889164625029e-08
6.335445148382794212e-03,-3.138659173562623146e-06,-9.609746632407778011e-04,1.478894295020884986e+00,-4.804873316203889006e-04,6.916307076364901121e-05,9.437907316095236788e-08
6.668889629876625577e-03,-3.457486197670645265e-06,-9.450732881588277956e-04,1.621933340040663918e+00,-4.725366440794138978e-04,8.318901887304199698e-05,1.221179924250543739e-07
7.002334111370456075e-03,-3.768724846678213924e-06,-9.151352421119375666e-04,1.759700032010480530e+00,-4.575676210559687833e-04,9.792132555788308763e-05,1.547693180528913741e-07
7.335778592864287441e-03,-4.067323071230145996e-06,-8.720213481177247015e-04,1.889750852531562053e+00,-4.360106740588623507e-04,1.129299406445421052e-04,1.924251835562398459e-07
7.669223074358118807e-03,-4.349947919264663418e-06,-8.167034938483367940e-04,2.010509702816895672e+00,-4.083517469241683970e-04,1.278239832015779594e-04,2.350473853573662120e-07
8.002667555851949305e-03,-4.612220657266351566e-06,-7.502672978413336188e-04,2.119885927430235295e+00,-3.751336489206668094e-04,1.421101126546068410e-04,2.824332181865115681e-07
8.336112037345780670e-03,-4.850253450709863035e-06,-6.740728111760701689e-04,2.216052462680988544e+00,-3.370364055880350844e-04,1.552959305000746796e-04,3.342157892102109809e-07
8.669556518839612036e-03,-5.060969505745583956e-06,-5.897543576461414944e-04,2.297605843721795882e+00,-2.948771788230707472e-04,1.669364040861440104e-04,3.898798119131599595e-07
