# Time_s,Displacement_m,Velocity_ms,Voltage_V,Current_A,Power_W,Energy_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.334444814938312572e-04,-1.355633624347263630e-09,-1.219203613315995032e-05,6.678883159473243463e-04,-6.096018066579975160e-06,7.932456367633293927e-11,2.645033800477923742e-14
6.668889629876625143e-04,-1.079989740062991241e-08,-4.837343798634266166e-05,5.243281390537726100e-03,-2.418671899317133083e-05,4.888845707907622905e-09,1.656608960181379172e-12
1.000333444481493663e-03,-3.615180549004863435e-08,-1.073926618916251586e-04,1.729625178898359233e-02,-5.369633094581257931e-05,5.319906479337156312e-08,1.939554353616389530e-11
1.333777925975325029e-03,-8.475449128541352211e-08,-1.874066707756935493e-04,3.995931285095975782e-02,-9.370333538784677467e-05,2.839461750353112615e-07,1.140758286429699239e-10
1.667222407469156394e-03,-1.631743397133560486e-07,-2.859763649285481150e-04,7.581019108402257956e-02,-1.429881824642740575e-04,1.022010087956923589e-06,4.548594525032312364e-10
2.000666888962987326e-03,-2.771422911656380914e-07,-4.001307854459907514e-04,1.268647866789599510e-01,-2.000653927229953757e-04,2.862082756171274517e-06,1.409205153127197501e-09
2.334111370456818692e-03,-4.313738810447195549e-07,-5.265008253612728749e-04,1.945331637543086800e-01,-2.632504126806364374e-04,6.729569765738095433e-06,3.653143054340300014e-09
2.667555851950650057e-03,-6.292837954805525318e-07,-6.614474874300521699e-04,2.795210358751689106e-01,-3.307237437150260849e-04,1.389405437529960304e-05,8.286038811359174722e-09
3.001000333444481423e-03,-8.729243904811096323e-07,-8.012076115795035806e-04,3.818491460395931902e-01,-4.006038057897517903e-04,2.592887340830076799e-05,1.693187856070921210e-08
3.334444814938312789e-03,-1.163306658673278914e-06,-9.418006898517610175e-04,5.009812178824937234e-01,-4.709003449258805088e-04,4.463164441739555106e-05,3.181405409168472577e-08
3.667889296432143720e-03,-1.500281158628121415e-06,-1.079238118290142597e-03,6.358342621733557021e-01,-5.396190591450712986e-04,7.189320628653559405e-05,5.578644698482762914e-08
4.001333777925974652e-03,-1.882303230230766322e-06,-1.209816241434161568e-03,7.847613777385282763e-01,-6.049081207170807842e-04,1.095154121532169891e-04,9.230375680584029791e-08
4.334778259419806018e-03,-2.306432837601197366e-06,-1.330116574692443918e-03,9.455517492304366112e-01,-6.650582873462219588e-04,1.589902912026075672e-04,1.453181920184470141e-07
4.668222740913637384e-03,-2.768365635778560923e-06,-1.437025637272162102e-03,1.115452863420469898e+00,-7.185128186360810508e-04,2.212597642707050895e-04,2.190960393911395933e-07
5.001667222407468749e-03,-3.263439779976587852e-06,-1.528180058424873523e-03,1.291822508819685966e+00,-7.640900292124367613e-04,2.967602272033461144e-04,3.180490994789509483e-07
5.335111703901300115e-03,-3.785735009582783514e-06,-1.600942313415066199e-03,1.471325867176289659e+00,-8.004711567075330995e-04,3.849618924394875605e-04,4.464125180983198924e-07
5.668556185395131480e-03,-4.328554182097842014e-06,-1.653005829118009634e-03,1.650376697640884238e+00,-8.265029145590048172e-04,4.843576529244156357e-04,6.079189045352707199e-07
6.002000666888962846e-03,-4.884926859258577708e-06,-1.682788438025633075e-03,1.825521671568067328e+00,-8.413942190128165374e-04,5.926168368004307253e-04,8.055237184067047920e-07
