# Time_s,Displacement_m,Velocity_ms,Voltage_V,Current_A,Power_W,Energy_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.334444814938312572e-04,-1.162084804934238298e-09,-1.045112756941277370e-05,5.809936778221772100e-04,-5.225563784706386849e-06,3.375536536693398730e-13,1.125554030241213186e-16
6.668889629876625143e-04,-9.258656173403952916e-09,-4.147385208279139040e-05,4.628554936227530399e-03,-2.073692604139569520e-05,2.142352079767623846e-11,7.256110187177585302e-15
1.000333444481493663e-03,-3.099623695301387261e-08,-9.208314726892755455e-05,1.549422385331765926e-02,-4.604157363446377728e-05,2.400709728167179637e-10,8.730645123976776952e-14
1.333777925975325029e-03,-7.266820834051766007e-08,-1.606715634183582806e-04,3.632188946231997700e-02,-8.033578170917914031e-05,1.319279654112991101e-09,5.272129714508351016e-13
1.667222407469156394e-03,-1.398869695749526840e-07,-2.450517265107092133e-04,6.991395268836067545e-02,-1.225258632553546066e-04,4.887960780510334770e-09,2.157076519470286242e-12
2.000666888962987326e-03,-2.375036518332724321e-07,-3.425109625955978206e-04,1.186912910491457473e-01,-1.712554812977989103e-04,1.408762257091302652e-08,6.854516523109174749e-12
2.334111370456818692e-03,-3.694151365647274736e-07,-4.499111635590326329e-04,1.845969634354088784e-01,-2.249555817795163165e-04,3.407603890957368355e-08,1.821698364867559163e-11
2.667555851950650057e-03,-5.383073169007739705e-07,-5.637595608797795182e-04,2.689679788634650182e-01,-2.818797804398897591e-04,7.234377365389736465e-08,4.233961574400648723e-11
3.001000333444481423e-03,-7.455731022925403527e-07,-6.803357679227538257e-04,3.724945485180603533e-01,-3.401678839613769129e-04,1.387521886756736203e-07,8.860576735310071812e-11
3.334444814938312789e-03,-9.915946121732698025e-07,-7.956807144448270822e-04,4.953611610051328329e-01,-3.978403572224135411e-04,2.453826798323531462e-07,1.704272677973665213e-10
3.667889296432143720e-03,-1.275475980517163178e-06,-9.058480616025106407e-04,6.371134736874961568e-01,-4.529240308012553204e-04,4.059135783541478853e-07,3.057769104629710141e-10
4.001333777925974652e-03,-1.594875048161545152e-06,-1.007035761122626388e-03,7.965744160856910172e-01,-5.035178805613131940e-04,6.345308003622596283e-07,5.173577041816303836e-10
4.334778259419806018e-03,-1.946003362806863893e-06,-1.095586055302305226e-03,9.718441898779840438e-01,-5.477930276511526128e-04,9.444811293995950623e-07,8.322897246549865260e-10
4.668222740913637384e-03,-2.323844995925732839e-06,-1.168293037472515261e-03,1.160410279678494971e+00,-5.841465187362576304e-04,1.346552017183523090e-06,1.281290063829218909e-09
5.001667222407468749e-03,-2.722589253278181998e-06,-1.222209571233395580e-03,1.359363425806329850e+00,-6.111047856166977902e-04,1.847868923419921189e-06,1.897451758867538746e-09
5.335111703901300115e-03,-3.135598302276946820e-06,-1.254458228832259744e-03,1.565381052527924366e+00,-6.272291144161298718e-04,2.450417839613432580e-06,2.714530064840673757e-09
5.668556185395131480e-03,-3.555631887195767147e-06,-1.262919995202861677e-03,1.774840970090294512e+00,-6.314599976014308386e-04,3.150060469111057652e-06,3.764900344637625287e-09
6.002000666888962846e-03,-3.974850019643042754e-06,-1.246240443577590696e-03,1.983822732041905290e+00,-6.231202217887953478e-04,3.935552632166209224e-06,5.077188651461970082e-09
6.335445148382794212e-03,-4.384812978561833774e-06,-1.203829735487470850e-03,2.188107635232668269e+00,-6.019148677437354249e-04,4.787815023363500059e-06,6.673659149415787591e-09
