# Time_s,Displacement_m,Velocity_ms,Voltage_V,Current_A,Power_W,Energy_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.334444814938312572e-04,-9.681498073785519283e-10,-8.710520677261307350e-06,4.769858296118056049e-04,-4.355260338630653675e-06,4.045860964841057125e-11,1.349070011617558149e-14
6.668889629876625143e-04,-7.718328742267318533e-09,-3.458300280875429124e-05,3.747229335297232178e-03,-1.729150140437714562e-05,2.497011523483375011e-09,8.461054128482112248e-13
1.000333444481493663e-03,-2.585268399634104776e-08,-7.686288110867148140e-05,1.236908536012848274e-02,-3.843144055433574070e-05,2.720665649005203617e-08,9.918014879354391887e-12
1.333777925975325029e-03,-6.066712303698028658e-08,-1.343434352517427805e-04,2.860398469695753926e-02,-6.717171762587139023e-05,1.454966768211156036e-07,5.843307884104682706e-11
1.667222407469156394e-03,-1.169514487045636831e-07,-2.054306306686049487e-04,5.433941759413443706e-02,-1.027153153343024743e-04,5.250854191571697206e-07,2.335199141718802995e-10
2.000666888962987326e-03,-1.989168743650452863e-07,-2.881932039374818753e-04,9.107038618299928556e-02,-1.440966019687409377e-04,1.474872087110656726e-06,7.253078725282179583e-10
2.334111370456818692e-03,-3.101701884210479262e-07,-3.804245769991623999e-04,1.399082755438571246e-01,-1.902122884995812000e-04,3.480862011880428430e-06,1.885982101231261633e-09
2.667555851950650057e-03,-4.534597310109014354e-07,-4.797595105187483274e-04,2.014949414486910673e-01,-2.398797552593741637e-04,7.219852002814930674e-06,4.293401908772085649e-09
3.001000333444481423e-03,-6.306257521201564663e-07,-5.837296104595032136e-04,2.759974336531850758e-01,-2.918648052297516068e-04,1.354596931985385640e-05,8.810230624962102180e-09
3.334444814938312789e-03,-8.427271194949177589e-07,-6.898252025718221939e-04,3.631931067914148104e-01,-3.449126012859110970e-04,2.345714727192592253e-05,1.663188693437387911e-08
3.667889296432143720e-03,-1.090227253506176543e-06,-7.954087011252525263e-04,4.625316795623209964e-01,-3.977043505626262632e-04,3.804371918181999448e-05,2.931735515105276629e-08
