# Time_s,Displacement_m,Velocity_ms,Voltage_V,Current_A,Power_W,Energy_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.334444814938312572e-04,-1.743113272192162916e-09,-1.567039173004846828e-05,8.692558903140636681e-04,-7.835195865024234139e-06,2.389435350232535683e-11,7.967440314213189238e-15
6.668889629876625143e-04,-1.387391560647915544e-08,-6.211018756925208175e-05,6.900455957612211533e-03,-3.105509378462604087e-05,1.505759377891265888e-09,5.100545953296402786e-13
1.000333444481493663e-03,-4.639569812538047411e-08,-1.376249396268885397e-04,2.301451083453771168e-02,-6.881246981344426986e-05,1.674956363334809175e-08,6.095104156299326627e-12
1.333777925975325029e-03,-1.085845072418060962e-07,-2.394609265470771956e-04,5.371906566543348943e-02,-1.197304632735385978e-04,9.125504860991557066e-08,3.652359652372698964e-11
1.667222407469156394e-03,-2.085695674508477239e-07,-3.638926270256643463e-04,1.029038222341811526e-01,-1.819463135128321731e-04,3.348597994345670583e-07,1.481807487193145461e-10
2.000666888962987326e-03,-3.532197138283363893e-07,-5.063239168998641231e-04,1.737897958387395192e-01,-2.531619584499320615e-04,9.550993424170912172e-07,4.666533537266807554e-10
2.334111370456818692e-03,-5.476846034678664963e-07,-6.614867837636245057e-04,2.687114269917427745e-01,-3.307433918818122529e-04,2.283348862923505010e-06,1.228023431393737958e-09
2.667555851950650057e-03,-7.951334553040610448e-07,-8.235573978225286520e-04,3.889926779766429421e-01,-4.117786989112643260e-04,4.785010039611235518e-06,2.823558622994683923e-09
3.001000333444481423e-03,-1.096751939712151490e-06,-9.863535073700168028e-04,5.349571697935533443e-01,-4.931767536850084014e-04,9.049780072072821830e-06,5.841157846760212980e-09
3.334444814938312789e-03,-1.451947838950706942e-06,-1.143365834056261909e-03,7.060324033448878156e-01,-5.716829170281309547e-04,1.576337716487602973e-05,1.109736897209399849e-08
3.667889296432143720e-03,-1.857887035026994424e-06,-1.288277419632042654e-03,9.005476074041022239e-01,-6.441387098160213272e-04,2.564562889009787817e-05,1.964876239993590656e-08
4.001333777925974652e-03,-2.309439674239144924e-06,-1.415022168350877014e-03,1.115710221898926324e+00,-7.075110841754385068e-04,3.936432638187344350e-05,3.277457979969364114e-08
4.334778259419806018e-03,-2.799263437147210793e-06,-1.517889637297086545e-03,1.347653659919678892e+00,-7.589448186485432723e-04,5.743235042169577879e-05,5.192508010702800853e-08
4.668222740913637384e-03,-3.318601694953314705e-06,-1.592178866460285547e-03,1.591874270704288996e+00,-7.960894332301427737e-04,8.013413008127131826e-05,7.864536356193675197e-08
5.001667222407468749e-03,-3.856811137785625731e-06,-1.632893116133392461e-03,1.842916338993110248e+00,-8.164465580666962303e-04,1.074017210856470549e-04,1.144578747608854195e-07
5.335111703901300115e-03,-4.402230022510855550e-06,-1.636030780246038041e-03,2.094880019519259395e+00,-8.180153901230190205e-04,1.387772601836405589e-04,1.607323863259539583e-07
5.668556185395131480e-03,-4.942397895707945042e-06,-1.598903934525454243e-03,2.341549747925765423e+00,-7.994519672627271216e-04,1.733831058250360612e-04,2.185460261475731691e-07
6.002000666888962846e-03,-5.464055593668061742e-06,-1.520138336496474436e-03,2.576394240765566224e+00,-7.600691682482372180e-04,2.099058968622173626e-04,2.885379890892928625e-07
6.335445148382794212e-03,-5.953145242394602388e-06,-1.399673425481532101e-03,2.792566495501510815e+00,-6.998367127407660506e-04,2.466079348447331788e-04,3.707680440558594167e-07
6.668889629876625577e-03,-6.394837056963215283e-06,-1.238760761899748361e-03,2.982917047357060536e+00,-6.193803809498741805e-04,2.813729554330024105e-04,4.645903032866038088e-07
7.002334111370456075e-03,-6.777015959151231437e-06,-1.039548318769070766e-03,3.141704539190434353e+00,-5.197741593845353831e-04,3.121265262660149510e-04,5.686671709978458670e-07
7.335778592864287441e-03,-7.087164124521732035e-06,-8.047263192161176974e-04,3.263015938423968532e+00,-4.023631596080588487e-04,3.366963359517874833e-04,6.809367061601625718e-07
7.669223074358118807e-03,-7.312629015397882704e-06,-5.380067797660020379e-04,3.340928979104341945e+00,-2.690033898830010190e-04,3.529673116314795025e-04,7.986317083713927134e-07
8.002667555851949305e-03,-7.443213032089197649e-06,-2.441099148811874675e-04,3.370801945610383932e+00,-1.220549574405937338e-04,3.593076566187976988e-04,9.184408636294113013e-07
8.336112037345780670e-03,-7.471173512891543032e-06,7.123586303851392292e-05,3.349273672653075629e+00,3.561793151925696146e-05,3.547327382292459808e-04,1.036724537597149045e-06
8.669556518839612036e-03,-7.391222734087133589e-06,4.012939436559383784e-04,3.274263545275549969e+00,2.006469718279691892e-04,3.390215191713927853e-04,1.149769392272505027e-06
9.003001000333443402e-03,-7.200527909944533476e-06,7.383195186965705887e-04,3.144971498853091685e+00,3.691597593482852943e-04,3.127760048771811938e-04,1.254062825042488997e-06
9.336445481827274767e-03,-6.898833423612044545e-06,1.074706311620940999e-03,2.961864336416298205e+00,5.373531558104704996e-04,2.774152459106848131e-04,1.346565407873660839e-06
9.669889963321106133e-03,-6.487025499352403146e-06,1.403802518303813715e-03,2.725902587718057823e+00,7.019012591519068573e-04,2.349744619620895572e-04,1.424916345506901792e-06
1.000333444481493750e-02,-5.967484748515789049e-06,1.717798811943607815e-03,2.438852983923819107e+00,8.588994059718039076e-04,1.880923978344586011e-04,1.487634717575744387e-06
1.033677892630876886e-02,-5.345537857184450215e-06,2.009462466970248981e-03,2.103901891573406679e+00,1.004731233485124491e-03,1.399751585738511536e-04,1.534308661748418876e-06
1.067022340780260023e-02,-4.629474213792612614e-06,2.272175681491779217e-03,1.725661137446682147e+00,1.136087840745889609e-03,9.416966760392616036e-05,1.565709017735056558e-06
1.100366788929643160e-02,-3.830545909126484454e-06,2.499935577294362492e-03,1.310168008563542763e+00,1.249967788647181246e-03,5.428176760961464926e-05,1.583808973590213007e-06
1.133711237079026296e-02,-2.962967736324252796e-06,2.687354199842277580e-03,8.648852521839214269e-01,1.343677099921138790e-03,2.365467488409654209e-05,1.591696494391845627e-06
1.167055685228409433e-02,-2.041680522669080368e-06,2.830343508276574396e-03,3.975393762089018401e-01,1.415171754138287198e-03,4.997586316571198504e-06,1.593362911969895387e-06
1.200400133377792569e-02,-1.080877368008271868e-06,2.925558962549994983e-03,-8.458299708195604616e-02,1.462779481274997491e-03,2.262383055568006931e-07,1.593438349884385776e-06
1.233744581527175706e-02,-9.713436184099732206e-08,2.969846802617285945e-03,-5.730333719369116174e-01,1.484923401308642973e-03,1.038388404312044517e-05,1.596900798715036040e-06
1.267089029676558842e-02,8.927429251416278344e-07,2.961574602586031658e-03,-1.059360788619567506e+00,1.480787301293015829e-03,3.548851179642829965e-05,1.608734247129983751e-06
1.300433477825941979e-02,1.871738276126318603e-06,2.900639478642845406e-03,-1.535121755134595034e+00,1.450319739321422703e-03,7.452219748983205316e-05,1.633583262631761822e-06
1.333777925975325115e-02,2.822624828177618305e-06,2.788468089053365920e-03,-1.991880247227738820e+00,1.394234044526682960e-03,1.254661147966614290e-04,1.675419246225179919e-06
1.367122374124708079e-02,3.727965072237890964e-06,2.628016634162261278e-03,-2.421207708385809010e+00,1.314008317081130639e-03,1.853805199014282141e-04,1.737233357562768532e-06
1.400466822274091215e-02,4.572098187687526598e-06,2.423185254376917109e-03,-2.815637713124098607e+00,1.211592627188458554e-03,2.506995458186482605e-04,1.820827737629006590e-06
1.433811270423474352e-02,5.341864502614319780e-06,2.177707685113411396e-03,-3.168957011911762933e+00,1.088853842556705698e-03,3.175650471758389320e-04,1.926718050125118364e-06
1.467155718572857488e-02,6.023018455668669306e-06,1.896461551551965668e-03,-3.474495377278933539e+00,9.482307757759828341e-04,3.817538946308049594e-04,2.054011779578537693e-06
1.500500166722240625e-02,6.603998113423221745e-06,1.585084687593698183e-03,-3.726981011981216341e+00,7.925423437968490917e-04,4.392526196744191472e-04,2.200478141590681550e-06
1.533844614871623761e-02,7.076008920717757777e-06,1.249958565884894514e-03,-3.922581284013519465e+00,6.249792829424472571e-04,4.865684036383405189e-04,2.362721690653149183e-06
1.567189063021006898e-02,7.433023700659183722e-06,8.982082978170055979e-04,-4.058902726610052802e+00,4.491041489085027989e-04,5.209754839556152931e-04,2.536438090771726927e-06
1.600533511170389861e-02,7.671782654621540009e-06,5.377026335266514231e-04,-4.134991038244323569e+00,2.688513167633257116e-04,5.406910057812715567e-04,2.716728522842841074e-06
1.633877959319773171e-02,7.791823479778941478e-06,1.756433397786863731e-04,-4.151252526797415854e+00,8.782166988934318654e-05,5.449520691463994584e-04,2.898439782978352868e-06
1.667222407469156134e-02,7.792967473708150704e-06,-1.813652189794310058e-04,-4.108201312138803019e+00,-9.068260948971550292e-05,5.337076574155202608e-04,3.076401656074558769e-06
1.700566855618539444e-02,7.676450130509847178e-06,-5.260856492728112170e-04,-4.007101628705883378e+00,-2.630428246364056085e-04,5.077626062071467989e-04,3.245712295023257333e-06
1.733911303767922407e-02,7.446340416918362690e-06,-8.520067834666333537e-04,-3.850585751293469805e+00,-4.260033917333166768e-04,4.688712447620685137e-04,3.402054824120312589e-06
1.767255751917305717e-02,7.109541496444490745e-06,-1.153345098295809274e-03,-3.642654262526720199e+00,-5.766725491479046369e-04,4.196004115463271354e-04,3.541968265782976191e-06
1.800600200066688680e-02,6.675790729375508587e-06,-1.425044714864957254e-03,-3.388676052861151256e+00,-7.125223574324786270e-04,3.631283089361355678e-04,3.663051396471917633e-06
1.833944648216071990e-02,6.157659672775145861e-06,-1.662777398648428336e-03,-3.095388320582621589e+00,-8.313886993242141678e-04,3.029913842128944233e-04,3.764082201477884776e-06
1.867289096365454953e-02,5.568655074274723299e-06,-1.863327043816498949e-03,-2.769920046474263486e+00,-9.316635219082494744e-04,2.426243957164551143e-04,3.844983967305311756e-06
1.900633544514838263e-02,4.919674202437752453e-06,-2.024562045559354616e-03,-2.418016237041301864e+00,-1.012281022779677308e-03,1.848921300061948602e-04,3.906635227727517437e-06
1.933977992664221227e-02,4.223958575012111617e-06,-2.144509769092273112e-03,-2.046576501550326999e+00,-1.072254884546136556e-03,1.324512211389734621e-04,3.950800356483427493e-06
1.967322440813604537e-02,3.494977773163104394e-06,-2.222419705816444570e-03,-1.662524682150408939e+00,-1.111209852908222285e-03,8.740498513378950436e-05,3.979945066431340096e-06
2.000666888962987500e-02,2.746316561759970358e-06,-2.258797548595180889e-03,-1.272750075680722848e+00,-1.129398774297590445e-03,5.122550671464544061e-05,3.997025928957064271e-06
2.034011337112370810e-02,1.991674889375819830e-06,-2.255405191753925061e-03,-8.841074336705121439e-01,-1.127702595876962531e-03,2.471781539353629483e-05,4.005267948094621831e-06
