# Time_s,Displacement_m,Velocity_ms,Voltage_V,Current_A,Power_W,Energy_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.334444814938312572e-04,-5.805708958841250163e-10,-5.227085899958756688e-06,2.860345166125714128e-04,-2.613542949979378344e-06,1.454912542059633681e-11,4.851325582059464860e-15
6.668889629876625143e-04,-4.632547884053432494e-09,-2.076203002497947341e-05,2.249101802075622811e-03,-1.038101501248973670e-05,8.995353337028105860e-10,3.047964185139736011e-13
1.000333444481493663e-03,-1.552363864528945989e-08,-4.617944297214997479e-05,7.427355041719515064e-03,-2.308972148607498740e-05,9.809985580747258950e-09,3.575881973948204546e-12
1.333777925975325029e-03,-3.645030948579206444e-08,-8.079923964778460495e-05,1.718645456449106185e-02,-4.039961982389230247e-05,5.252578945666731713e-08,2.109031660438078750e-11
1.667222407469156394e-03,-7.033432419719513027e-08,-1.237237804040574652e-04,3.268103260750053474e-02,-6.186189020202873261e-05,1.899291132358065536e-07,8.442113128787746912e-11
2.000666888962987326e-03,-1.197378709553158275e-07,-1.738754886904783409e-04,5.482561991586996919e-02,-8.693774434523917044e-05,5.345238673579567553e-07,2.626551650851287966e-10
2.334111370456818692e-03,-1.869152602306847050e-07,-2.300114902089706015e-04,8.432569031084324873e-02,-1.150057451044853008e-04,1.264502843356439051e-06,6.842966600355919428e-10
2.667555851950650057e-03,-2.736620458783377862e-07,-2.908034978953897534e-04,1.216305856329774060e-01,-1.454017489476948767e-04,2.630786445654402550e-06,1.561517882327823418e-09
3.001000333444481423e-03,-3.812594351493536429e-07,-3.548630409867226088e-04,1.669146802321939960e-01,-1.774315204933613044e-04,4.954377213445047819e-06,3.213527623389860093e-09
3.334444814938312789e-03,-5.104516939065540800e-07,-4.208246693492058714e-04,2.200956217235930379e-01,-2.104123346746029357e-04,8.614355824818246431e-06,6.085937034799744436e-09
3.667889296432143720e-03,-6.616874391918148646e-07,-4.872439581127405639e-04,2.809187487876886324e-01,-2.436219790563702819e-04,1.403335303407199342e-05,1.076528116086576370e-08
4.001333777925974652e-03,-8.350201119153507613e-07,-5.527111341795155897e-04,3.489476198783372229e-01,-2.763555670897577948e-04,2.165311990498653127e-05,1.798539450030775447e-08
4.334778259419806018e-03,-1.030004679143270347e-06,-6.159622310108370420e-04,4.235518169916540066e-01,-3.079811155054185210e-04,3.190164649845128852e-05,2.862282247578334353e-08
4.668222740913637384e-03,-1.245697634097575533e-06,-6.758790886271280954e-04,5.039069456660125734e-01,-3.379395443135640477e-04,4.515446375997684728e-05,4.367932923136081514e-08
5.001667222407468749e-03,-1.480656996156162945e-06,-7.314893536079293849e-04,5.889946349820451843e-01,-3.657446768039646925e-04,6.169112325511630758e-05,6.424989383793511715e-08
5.335111703901300115e-03,-1.733173946559599644e-06,-7.820917983284200303e-04,6.777627687749511187e-01,-3.910458991642100151e-04,8.168746456291407657e-05,9.148812810366171138e-08
5.668556185395131480e-03,-2.001573251001328237e-06,-8.270919110025319425e-04,7.692172758473421190e-01,-4.135459555012659712e-04,1.052199422231188191e-04,1.265731371810604644e-07
6.002000666888962846e-03,-2.283784580494157774e-06,-8.657423629792712801e-04,8.621156394219677832e-01,-4.328711814896356400e-04,1.321694391719059690e-04,1.706443072950671080e-07
6.335445148382794212e-03,-2.577681384585082213e-06,-8.975441541857275647e-04,9.552785214303775030e-01,-4.487720770928637823e-04,1.622781418735877413e-04,2.247550581698879707e-07
6.668889629876625577e-03,-2.881091214062417787e-06,-9.222552895092443487e-04,1.047597999543115277e+00,-4.611276447546221744e-04,1.951593310833510354e-04,2.898298601316589006e-07
7.002334111370456075e-03,-3.191795720955801526e-06,-9.398907787974200827e-04,1.138037567169719821e+00,-4.699453893987100414e-04,2.303102130812066867e-04,3.666255297152556664e-07
7.335778592864287441e-03,-3.507530658536192099e-06,-9.507226368581073563e-04,1.225632133458725015e+00,-4.753613184290536781e-04,2.671285319566562362e-04,4.556980645457512184e-07
7.669223074358118807e-03,-3.825985881315868973e-06,-9.552798834594134402e-04,1.309488023297659343e+00,-4.776399417297067201e-04,3.049320415104786485e-04,5.573759710180681938e-07
8.002667555851949305e-03,-4.144805681807896920e-06,-9.543484046486211880e-04,1.388783096222455216e+00,-4.771742023243105940e-04,3.429800375599943393e-04,6.717407718049952805e-07
8.336112037345780670e-03,-4.462551547573352314e-06,-9.484930184608213188e-04,1.463077737939499468e+00,-4.742465092304106594e-04,3.806578622920134660e-04,7.986690353235059015e-07
8.669556518839612036e-03,-4.777907254787226364e-06,-9.381331194050493904e-04,1.531944544512443107e+00,-4.690665597025246952e-04,4.173362302098358170e-04,9.378274982144149068e-07
9.003001000333443402e-03,-5.089073081741802849e-06,-9.239968825396935141e-04,1.594826922418336235e+00,-4.619984412698467571e-04,4.523005510237740161e-04,1.088644620929911432e-06
9.336445481827274767e-03,-5.394654565282329242e-06,-9.068260633022356401e-04,1.651378036554294493e+00,-4.534130316511178200e-04,4.849455833058022866e-04,1.250347049508038092e-06
9.669889963321106133e-03,-5.693662500807017556e-06,-8.873759975092518825e-04,1.701460810237498622e+00,-4.436879987546259413e-04,5.148063567610145332e-04,1.422006388207942975e-06
1.000333444481493750e-02,-5.985512942267046041e-06,-8.664156013564118693e-04,1.745147925205194905e+00,-4.332078006782059346e-04,5.415823352155560303e-04,1.602594029160112477e-06
1.033677892630876886e-02,-6.270027202166554945e-06,-8.447273714184790668e-04,1.782721821614695168e+00,-4.223636857092395334e-04,5.651544624050972888e-04,1.791041665840705115e-06
1.067022340780260023e-02,-6.547431851562651598e-06,-8.231073846493109974e-04,1.814674698043376333e+00,-4.115536923246554987e-04,5.855952803404842859e-04,1.986305180459072894e-06
1.100366788929643160e-02,-6.818312850475184036e-06,-8.022948656701517182e-04,1.841660427958565549e+00,-4.011474328350758591e-04,6.031413627231562704e-04,2.187419339419778484e-06
1.133711237079026296e-02,-7.082942674033752555e-06,-7.825156621501065668e-04,1.863995123046971347e+00,-3.912578310750532834e-04,6.178592365707435800e-04,2.393441092194284173e-06
1.167055685228409433e-02,-7.341477909288217516e-06,-7.643307349395527060e-04,1.882058589915140301e+00,-3.821653674697763530e-04,6.298922695525483112e-04,2.603475193412206304e-06
1.200400133377792569e-02,-7.594273406687316158e-06,-7.482760998879946614e-04,1.896322528397476948e+00,-3.741380499439973307e-04,6.394762345610226651e-04,2.816705014873034576e-06
1.233744581527175706e-02,-7.841856913132880962e-06,-7.347366296870650165e-04,1.907292769396818244e+00,-3.673683148435325082e-04,6.468963857425955206e-04,3.032409044797207670e-06
1.267089029676558842e-02,-8.084929071979840494e-06,-7.239460538705245205e-04,1.915509274884433788e+00,-3.619730269352622602e-04,6.524819745243328698e-04,3.249975558476544835e-06
1.300433477825941979e-02,-8.324363423036216017e-06,-7.159869588142621973e-04,1.921546137900025153e+00,-3.579934794071310987e-04,6.566011414559773949e-04,3.468915585637590963e-06
1.333777925975325115e-02,-8.561206402563121493e-06,-7.107907877362951285e-04,1.926011582551726331e+00,-3.553953938681475642e-04,6.596564132767150429e-04,3.688874376326725346e-06
1.367122374124708079e-02,-8.796677343274767816e-06,-7.081378406967683446e-04,1.929547964016103734e+00,-3.540689203483841723e-04,6.620810491169977063e-04,3.909641648456433978e-06
1.400466822274091215e-02,-9.032167687657112801e-06,-7.076574022291702093e-04,1.932831419814658558e+00,-3.538287011145851047e-04,6.643362545262329524e-04,4.131160906384488372e-06
1.433811270423474352e-02,-9.268232895053763772e-06,-7.090274076522042968e-04,1.936137973263607925e+00,-3.545137038261021484e-04,6.666111992115150188e-04,4.353438732063552886e-06
1.467155718572857488e-02,-9.504975661497054351e-06,-7.120347679691948085e-04,1.939557083810990568e+00,-3.560173839845974042e-04,6.689676736967570389e-04,4.576502311155502283e-06
1.500500166722240625e-02,-9.742974167427956335e-06,-7.163593516558269250e-04,1.943379052386013051e+00,-3.581796758279134625e-04,6.716067221227891302e-04,4.800445866381506989e-06
1.533844614871623761e-02,-9.982650185503361373e-06,-7.216498540705114590e-04,1.947805262000964266e+00,-3.608249270352557295e-04,6.746694878585382093e-04,5.025410683940205819e-06
1.567189063021006898e-02,-1.022426908059610129e-05,-7.275237974543855056e-04,1.952948177751215875e+00,-3.637618987271927528e-04,6.782369379825991737e-04,5.251565048055778063e-06
1.600533511170389861e-02,-1.046793980979492609e-05,-7.335675309313117922e-04,1.958831346815222973e+00,-3.667837654656558961e-04,6.823294098058918771e-04,5.479084024316495816e-06
1.633877959319773171e-02,-1.071361492240452931e-05,-7.393362305078790032e-04,1.965389398454522984e+00,-3.696681152539395016e-04,6.869058549538241236e-04,5.708128990956650819e-06
1.667222407469156134e-02,-1.096109055994551929e-05,-7.443538990734015637e-04,1.972468044013736765e+00,-3.721769495367007819e-04,6.918627549448588083e-04,5.938826808544132745e-06
1.700566855618539444e-02,-1.121000645615444793e-05,-7.481133663999202897e-04,1.979824076920567277e+00,-3.740566831999601449e-04,6.970327806208409614e-04,6.171248542662453033e-06
1.733911303767922407e-02,-1.145988847433483601e-05,-7.501798972079077015e-04,1.987183167866028777e+00,-3.750899486039538508e-04,7.022242125480263704e-04,6.405401331107942882e-06
1.767255751917305717e-02,-1.171028560932150165e-05,-7.506030841686775305e-04,1.994453655349199162e+00,-3.753015420843387653e-04,7.073720541504406991e-04,6.641270638927363701e-06
1.800600200066688680e-02,-1.196043125009653671e-05,-7.490117759924928668e-04,2.001237699049651653e+00,-3.745058879962464334e-04,7.121924263243310359e-04,6.878747273246913232e-06
1.833944648216071990e-02,-1.220950650062268274e-05,-7.450404473081439572e-04,2.007112762892106606e+00,-3.725202236540719786e-04,7.163801524991538980e-04,7.117620281749466218e-06
1.867289096365454953e-02,-1.245668395702011685e-05,-7.384231286242692090e-04,2.011686593356279307e+00,-3.692115643121346045e-04,7.196488624625883585e-04,7.357583223550929177e-06
1.900633544514838263e-02,-1.270112770756646351e-05,-7.289934063293544318e-04,2.014597219476879975e+00,-3.644967031646772159e-04,7.217328293185929595e-04,7.598241052600142954e-06
1.933977992664221227e-02,-1.294199333269677934e-05,-7.166844226917339208e-04,2.015512952843613537e+00,-3.583422113458669604e-04,7.223891044652144041e-04,7.839117712975338876e-06
1.967322440813604537e-02,-1.317842790500357512e-05,-7.015288758595889396e-04,2.014132387601178298e+00,-3.507644379297944698e-04,7.213998141450559060e-04,8.079664499952682503e-06
2.000666888962987500e-02,-1.340956998923679038e-05,-6.836590198609493463e-04,2.010184400449269493e+00,-3.418295099304746731e-04,7.185744925365016370e-04,8.319269199031209658e-06
2.034011337112370810e-02,-1.363454964230381711e-05,-6.633066646036922922e-04,2.003428150642575734e+00,-3.316533323018461461e-04,7.137523377689715441e-04,8.557265977213594538e-06
2.067355785261753773e-02,-1.385248841326947605e-05,-6.408031758755433063e-04,1.993653079990779897e+00,-3.204015879377716531e-04,7.068042886606861787e-04,8.792945966763673262e-06
2.100700233411137083e-02,-1.406249934335604383e-05,-6.165794753440749943e-04,1.980678912858560903e+00,-3.082897376720374972e-04,6.976348313925940202e-04,9.025568451389412008e-06
2.134044681560520046e-02,-1.426422038723460621e-05,-5.909563032724906824e-04,1.964547029286364488e+00,-2.954781516362453412e-04,6.863171631520199791e-04,9.254417121996954840e-06
2.167389129709903009e-02,-1.445797337126145659e-05,-5.638258763546243968e-04,1.945485883887025036e+00,-2.819129381773121984e-04,6.730636990127851580e-04,9.478846498126593833e-06
2.200733577859286319e-02,-1.464277494971634454e-05,-5.354339242659095568e-04,1.923196854880729223e+00,-2.677169621329547784e-04,6.577297411622996283e-04,9.698162850631528579e-06
2.234078026008669282e-02,-1.481778831340374851e-05,-5.060459645965796919e-04,1.897459638902408763e+00,-2.530229822982898460e-04,6.402433753281358423e-04,9.911648470947679056e-06
2.267422474158052592e-02,-1.498239675913304146e-05,-4.759242374836708230e-04,1.868160739063111198e+00,-2.379621187418354115e-04,6.206238792419314833e-04,1.011859207856419451e-05
2.300766922307435555e-02,-1.513620368971847385e-05,-4.453277056110237393e-04,1.835293464950000786e+00,-2.226638528055118697e-04,5.989782275645543419e-04,1.031831806308055108e-05
2.334111370456818865e-02,-1.527903261397919570e-05,-4.145120542092818302e-04,1.798957932626357392e+00,-2.072560271046409151e-04,5.754956106531646225e-04,1.051021389857677268e-05
2.367455818606201828e-02,-1.541092714673923119e-05,-3.837296910558930362e-04,1.759361064631578042e+00,-1.918648455279465181e-04,5.504399582751280922e-04,1.069375506505730681e-05
2.400800266755585138e-02,-1.553215100882750574e-05,-3.532297464751077897e-04,1.716816589981175145e+00,-1.766148732375538949e-04,5.241406013753111817e-04,1.086852685611276318e-05
2.434144714904968101e-02,-1.564318802707782399e-05,-3.232580733379814540e-04,1.671745044166778715e+00,-1.616290366689907270e-04,4.969813470048968940e-04,1.103424254367691656e-05
2.467489163054351411e-02,-1.574474213432887828e-05,-2.940572470623715583e-04,1.624673769156133485e+00,-1.470286235311857792e-04,4.693883835214353122e-04,1.119075750983944988e-05
2.500833611203734375e-02,-1.583769321440300234e-05,-2.658451959059092385e-04,1.576207179086378529e+00,-1.329225979529546193e-04,4.418009063378856610e-04,1.133807358397679110e-05
2.534178059353117685e-02,-1.592194163081000279e-05,-2.383878023130533486e-04,1.526295767812914761e+00,-1.191939011565266743e-04,4.142641962254982151e-04,1.147620769408866114e-05
2.567522507502500648e-02,-1.599731177776055001e-05,-2.116483068579345060e-04,1.474920062110562924e+00,-1.058241534289672530e-04,3.868449804715793717e-04,1.160519901802049641e-05
2.600866955651883958e-02,-1.606393065245230741e-05,-1.857196442967065783e-04,1.422255500278375884e+00,-9.285982214835328914e-05,3.597122632570857147e-04,1.172514308712922917e-05
2.634211403801266921e-02,-1.612195805100841988e-05,-1.606499407709960304e-04,1.368475011280088305e+00,-8.032497038549801522e-05,3.330226274699146609e-04,1.183618764447164651e-05
2.667555851950650231e-02,-1.617158656847750707e-05,-1.364425138078998649e-04,1.313749014744113319e+00,-6.822125690394993246e-05,3.069197294289032450e-04,1.193852833451129428e-05
