# Time_s,Displacement_m,Velocity_ms,Voltage_V,Current_A,Power_W,Energy_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.334444814938312572e-04,-3.869366862928533925e-10,-3.484685796966503134e-06,1.929518759492934764e-04,-1.742342898483251567e-06,1.177329457855675993e-12,3.925740106220993632e-16
6.668889629876625143e-04,-3.088315553177835356e-09,-1.384141463008343960e-05,1.536036679116985475e-03,-6.920707315041719799e-06,7.461105358683486690e-11,2.527121808759271129e-14
1.000333444481493663e-03,-1.034866784550139616e-08,-3.078058017704684695e-05,5.133503251614086535e-03,-1.539029008852342347e-05,8.333504665409175660e-10,3.031473323059713282e-13
1.333777925975325029e-03,-2.429317470131016375e-08,-5.383063563295794826e-05,1.201861676924796847e-02,-2.691531781647897413e-05,4.567819925033313073e-09,1.826261678765895333e-12
1.667222407469156394e-03,-4.685887954769651382e-08,-8.235491196067283560e-05,2.312032794609040001e-02,-4.117745598033641780e-05,1.690394145548579140e-08,7.462787672592434505e-12
2.000666888962987326e-03,-7.972369322324443153e-08,-1.155684785221018824e-04,3.922884124661226574e-02,-5.778423926105094122e-05,4.866435370099560132e-08,2.368964785965332024e-11
2.334111370456818692e-03,-1.243242626982734406e-07,-1.525572329123680182e-04,6.100575591332162151e-02,-7.627861645618400912e-05,1.176905589738002186e-07,6.293291527339130142e-11
2.667555851950650057e-03,-1.817736446733715551e-07,-1.923167870922511775e-04,8.894536035424895071e-02,-9.615839354612558875e-05,2.501765492700585709e-07,1.463529050266618994e-10
3.001000333444481423e-03,-2.527961781048688660e-07,-2.337734171686647920e-04,1.233433924382926761e-01,-1.168867085843323960e-04,4.810960356142986311e-07,3.067717231708094978e-10
3.334444814938312789e-03,-3.377092197737510418e-07,-2.758242820281413808e-04,1.642904492449256959e-01,-1.379121410140706904e-04,8.535414854008208532e-07,5.913804212037607783e-10
3.667889296432143720e-03,-4.365427714948954206e-07,-3.173348567666370822e-04,2.117316384845879251e-01,-1.586674283833185411e-04,1.417658142421978037e-06,1.064090705439165211e-09
4.001333777925974652e-03,-5.490160389807964992e-07,-3.571784506858146648e-04,2.654573546452181909e-01,-1.785892253429073324e-04,2.228381398092823153e-06,1.807132185296725255e-09
4.334778259419806018e-03,-6.744450160575839272e-07,-3.943176644010473481e-04,3.250622190904320918e-01,-1.971588322005236741e-04,3.341434802229535903e-06,2.921315180371595622e-09
4.668222740913637384e-03,-8.117422429896753286e-07,-4.278046407045409073e-04,3.899449750767485789e-01,-2.139023203522704536e-04,4.808467184994425328e-06,4.524672027652163632e-09
5.001667222407468749e-03,-9.594193407850984663e-07,-4.567859027251845597e-04,4.593100606541649089e-01,-2.283929513625922799e-04,6.671322207895543117e-06,6.749187602142174444e-09
5.335111703901300115e-03,-1.115779766086836601e-06,-4.806863080891046552e-04,5.322756111526661948e-01,-2.403431540445523276e-04,8.959280514692651205e-06,9.736610247921651245e-09
5.668556185395131480e-03,-1.279022890538350612e-06,-4.988678407811229527e-04,6.079039340331766628e-01,-2.494339203905614763e-04,1.168610832842982724e-05,1.363327858017567845e-08
6.002000666888962846e-03,-1.447225916333653350e-06,-5.107706058096876970e-04,6.852013735700688279e-01,-2.553853029048438485e-04,1.484692278151532854e-05,1.858390304883700644e-08
6.335445148382794212e-03,-1.618388668861299113e-06,-5.160652366234912136e-04,7.631503382168697280e-01,-2.580326183117456068e-04,1.841705572082851821e-05,2.472496864431167296e-08
6.668889629876625577e-03,-1.790433596704384705e-06,-5.146528951114694205e-04,8.407093006062599239e-01,-2.573264475557347102e-04,2.235072957155295238e-05,3.217769607730699084e-08
